origin,comp,installed,actual,actual_swaps,naive_last_quarter,constant_AFR,weibull_first_failure,sim_weibull,sim_weibull_p10,sim_weibull_p90,sim_weibull_swaps,sim_empirical,sim_empirical_p10,sim_empirical_p90,sim_empirical_swaps,covered_weibull,covered_empirical
2015-05-31,comp1,100,47,135,48,50.4,48.64992883360775,42.15425,35.0,50.0,115.53625,45.73625,39.0,52.0,115.33875,True,True
2015-05-31,comp2,100,62,143,64,61.19999999999999,52.54504176088034,51.17775,43.0,60.0,117.4045,58.44725,50.0,67.0,118.53825,False,True
2015-05-31,comp3,100,32,159,32,31.8,32.98434234501062,24.10725,18.0,30.0,137.80275,26.39075,21.0,32.0,137.533,False,True
2015-05-31,comp4,100,39,138,44,47.400000000000006,45.29468596640656,35.44575,29.0,42.0,130.0515,40.49825,34.0,47.0,132.41425,True,True
2015-06-30,comp1,100,44,140,46,49.49999999999999,48.85777429757664,41.9745,35.0,50.0,117.46425,46.01625,39.0,53.0,118.289,True,True
2015-06-30,comp2,100,64,141,63,60.00000000000001,52.89177674667262,50.0105,42.0,58.0,124.13525,55.0485,47.0,63.0,125.4225,False,False
2015-06-30,comp3,100,34,142,33,32.5,33.07612656425094,23.12425,18.0,29.0,141.18625,25.82675,20.0,32.0,141.28875,False,False
2015-06-30,comp4,100,42,134,43,46.0,45.97475370624731,35.96475,29.0,43.0,132.1775,40.316,34.0,47.0,134.382,True,True
2015-07-30,comp1,100,34,140,48,50.14285714285715,50.10673433775169,42.9905,36.0,50.0,118.27,46.78975,40.0,54.0,117.963,False,False
2015-07-30,comp2,100,66,120,61,61.71428571428571,54.8033792079616,52.742,45.0,61.0,125.22425,58.36775,50.0,67.0,127.28675,False,True
2015-07-30,comp3,100,31,138,32,32.57142857142857,34.39825462878929,23.9165,18.0,30.0,145.928,26.08475,21.0,32.0,146.54775,False,True
2015-07-30,comp4,100,45,135,40,43.71428571428571,46.1964284939454,36.07325,29.0,43.0,128.626,40.22975,33.0,47.0,131.05725,False,True
2015-08-29,comp1,100,34,131,47,49.125,48.937134420273765,41.10925,34.0,48.0,120.247,46.224,39.0,53.09999999999991,121.11125,True,False
2015-08-29,comp2,100,67,120,62,61.5,56.244975927819645,54.1345,46.0,62.0,122.6735,58.7855,50.0,67.0,124.37875,False,True
2015-08-29,comp3,100,31,145,32,31.874999999999996,34.94009226926624,23.96425,18.0,30.0,146.26125,26.3455,21.0,32.0,147.20025,False,True
2015-08-29,comp4,100,42,136,39,44.24999999999999,45.33205387757291,34.1875,28.0,41.0,133.91875,37.83775,31.0,44.0,136.22225,False,True
2015-10-03,comp1,100,36,131,42,48.10909090909092,49.61253781445034,41.2975,34.0,49.0,123.42425,45.443,39.0,53.0,124.641,True,False
2015-10-03,comp2,100,70,112,62,60.872727272727275,57.4791290751861,55.05975,47.0,63.0,122.501,57.45225,49.0,66.0,124.7615,False,False
2015-10-03,comp3,100,26,156,33,33.381818181818176,38.51485906115675,27.29125,21.0,34.0,138.886,29.5095,24.0,36.0,139.7365,True,True
2015-10-03,comp4,100,39,130,45,44.836363636363636,47.05391749111883,36.84225,30.0,44.0,128.8795,40.66275,34.0,47.0,130.47,True,True
